2025-10-14 11:52:42 | INFO | lift | LiftFSM started
2025-10-14 12:01:08 | INFO | lift | LiftFSM started
2025-10-14 12:02:16 | INFO | lift | LiftFSM started
2025-10-14 12:03:29 | INFO | lift | LiftFSM started
2025-10-14 12:03:29 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:03:54 | INFO | lift | Moving up from floor 0
2025-10-14 12:03:56 | INFO | lift | Moving up from floor 1
2025-10-14 12:03:58 | INFO | lift | Moving up from floor 2
2025-10-14 12:04:00 | INFO | lift | Moving up from floor 3
2025-10-14 12:04:02 | INFO | lift | Moving up from floor 4
2025-10-14 12:04:04 | INFO | lift | Reached floor ===========================================>5
2025-10-14 12:04:04 | INFO | lift | Waiting at floor 5
2025-10-14 12:04:06 | INFO | lift | State: IDLE | Current floor: 5
2025-10-14 12:05:02 | INFO | lift | Moving up from floor 5
2025-10-14 12:05:04 | INFO | lift | Moving up from floor 6
2025-10-14 12:05:06 | INFO | lift | Moving up from floor 7
2025-10-14 12:05:08 | INFO | lift | Moving up from floor 8
2025-10-14 12:05:10 | INFO | lift | Moving up from floor 9
2025-10-14 12:05:12 | INFO | lift | Moving down from floor 10
2025-10-14 12:05:14 | INFO | lift | Moving up from floor 9
2025-10-14 12:05:16 | INFO | lift | Moving down from floor 10
2025-10-14 12:05:18 | INFO | lift | Moving up from floor 9
2025-10-14 12:05:20 | INFO | lift | Moving down from floor 10
2025-10-14 12:05:22 | INFO | lift | Moving up from floor 9
2025-10-14 12:05:24 | INFO | lift | Moving down from floor 10
2025-10-14 12:05:26 | INFO | lift | Moving up from floor 9
2025-10-14 12:05:28 | INFO | lift | Moving down from floor 10
2025-10-14 12:05:30 | INFO | lift | Moving up from floor 9
2025-10-14 12:05:32 | INFO | lift | Moving down from floor 10
2025-10-14 12:05:34 | INFO | lift | Moving up from floor 9
2025-10-14 12:05:36 | INFO | lift | Moving down from floor 10
2025-10-14 12:05:38 | INFO | lift | Moving up from floor 9
2025-10-14 12:08:44 | INFO | lift | LiftFSM started
2025-10-14 12:08:44 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:09:04 | INFO | lift | Moving up from floor 0
2025-10-14 12:09:06 | INFO | lift | Moving up from floor 1
2025-10-14 12:09:08 | INFO | lift | Moving up from floor 2
2025-10-14 12:09:10 | INFO | lift | Moving up from floor 3
2025-10-14 12:09:12 | INFO | lift | Moving up from floor 4
2025-10-14 12:09:14 | INFO | lift | Moving up from floor 5
2025-10-14 12:09:16 | INFO | lift | Moving up from floor 6
2025-10-14 12:09:18 | INFO | lift | Moving up from floor 7
2025-10-14 12:09:20 | INFO | lift | Moving up from floor 8
2025-10-14 12:09:22 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:24 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:26 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:28 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:30 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:32 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:34 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:36 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:38 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:40 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:42 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:44 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:46 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:48 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:50 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:52 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:54 | INFO | lift | Moving up from floor 9
2025-10-14 12:09:56 | INFO | lift | Moving down from floor 10
2025-10-14 12:09:58 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:00 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:02 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:04 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:06 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:08 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:10 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:12 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:14 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:16 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:18 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:20 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:22 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:24 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:26 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:28 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:30 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:32 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:34 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:36 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:38 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:40 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:42 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:44 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:46 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:48 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:50 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:52 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:54 | INFO | lift | Moving up from floor 9
2025-10-14 12:10:56 | INFO | lift | Moving down from floor 10
2025-10-14 12:10:58 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:00 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:02 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:04 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:06 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:08 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:10 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:12 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:14 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:16 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:18 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:20 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:22 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:24 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:26 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:28 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:30 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:32 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:34 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:36 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:38 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:40 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:42 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:44 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:46 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:48 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:50 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:52 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:54 | INFO | lift | Moving up from floor 9
2025-10-14 12:11:56 | INFO | lift | Moving down from floor 10
2025-10-14 12:11:58 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:00 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:02 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:04 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:06 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:08 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:10 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:12 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:14 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:16 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:18 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:20 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:22 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:24 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:26 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:28 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:30 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:32 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:34 | INFO | lift | Moving up from floor 9
